Borders	Which counties border county Lincolnshire?
Borders	Which counties of Scotland border England?
Borders	Does the county of Durham border Essex?
Borders	Which districts border London?
Borders	Which counties of England border country Scotland?
Borders	Does county Suffolk border county Durham?
Borders	Which Scottish counties border England?
Borders	Does the district of Coleraine border Belfast?
Borders	Which countries border Wales?
Borders	Which counties border county Donegal to the south?
Borders	Which Welsh district has the most adjacent Welsh districts?
Containment	How many hospitals are there in Oxford?
Containment	How many underground lines does London have?
Containment	How many counties does England have?
Containment	What is the number of universities in London?
Containment	Which rivers are in Wales?
Containment	Which universities are in county Essex?
Containment	Is there any stadium in Cardiff?
Containment	Which are the counties of Northern Ireland?
Containment	Is there a National Park in England?
Containment	Is Cavan a county of Ireland?
Containment	Which lakes are in Ireland?
Containment	Is Alnwick Castle in Scotland?
Containment	Which colleges are in London?
Containment	How many districts does Northern Ireland have?
Containment	Does London have a mountain?
Containment	Which medieval castles are in Scotland?
Containment	Is Liverpool part of Scotland?
Containment	Is there a forest in county Cheshire?
Containment	Which city council includes Dublin?
Containment	Which are the main railway stations in Glasgow?
Containment	What historical monuments are there in London?
Containment	Is there any airfield in Wellesbourne village in England?
Containment	Is there an aerodrome in Essex?
Containment	How many cities does Merseyside have?
Containment	What historic buildings are in Buckinghamshire?
Containment	Is there a mountain in Merseyside?
Containment	Is there a Modern Art Museum in London?
Containment	Is there a train station in Dublin?
Containment	Is there a church in the county of Greater Manchester dedicated to St. Patrick?
Containment	Which hotels are in England's capital?
Containment	Which rivers are in Great Britain?
Containment	Which airports are in the city of Salford?
Containment	Which airports are in Ireland?
Containment	Which airports are in London?
Containment	Which universities are in England?
Containment	Which mountains are in Scotland?
Containment	Which castles are in the Highland council area of Scotland?
Containment	How many are the counties of England?
Containment	Where can I find a car park in Bristol?
Containment	Which villages are in Herefordshire?
Containment	How many mountains are there in Scotland?
Containment	Which university colleges are in Scotland?
Containment	Which forests are in Northern Ireland?
Containment	Is Trafalgar square located in London?
Containment	How many parks are there in Northampton?
Containment	Which aerodrome is in Essex?
Containment	Is there an airport in Dublin?
Containment	Is England part of the United Kingdom ?
Containment	How many county councils are there in Ireland?
Containment	What tourist attractions are there in Belfast, Northern Ireland?
Containment	Which are the districts of county Chesire?
Containment	Are there any lakes in Scotland?
Containment	Where can I find a car park in Exeter?
Containment	Which is the oldest bridge of London?
Containment	Which city in Scotland has the largest population?
Containment	Which cities or towns of the United Kingdom have a university?
Containment	What is the elevation of the most elevated spot in county Down?
Containment	Does Everton FC plays in Liverpool?
Containment	Are there more than 10 districts in Hampshire, England ?
Crossing	Which bridges cross river Thames?
Crossing	What's the name of the river that runs through London?
Crossing	How many cities does Thames river crosses?
Crossing	What is the name of the river that flows under the Queensway Bridge in Liverpool?
Crossing	How many rivers cross the county West Yorkshire?
Crossing	How many rivers cross Edinburgh?
Crossing	How many counties does the river Thames cross?
Crossing	Is there a river that crosses county Greater Manchester?
Crossing	How many rivers cross England's cities?
Crossing	Through which cities does River Thames flow?
Crossing	Through which cities does River Thames flow?
Crossing	Is there a river that crosses Manchester?
Crossing	Which rivers cross Derry?
Crossing	Which counties of Ireland does River Shannon cross?
Crossing	Which rivers discharge into the Solway Firth?
Crossing	Which rivers cross county Cheshire?
Crossing	Which river crosses the most cities in England?
Proximity	Which restaurants are close to London Bridge?
Proximity	Is there any hospital in a range of 1 km from Jubilee Gardens in London?
Proximity	Which restaurants are at most 1km away from Big Ben?
Proximity	Which pubs in Dublin are near Guinness Brewery?
Proximity	Which hospitals in Liverpool are near Abercromby Square?
Proximity	Which department stores are at most 2km from Central Park hotel in London?
Proximity	Is there a church at most 2km from the University of Westminster?
Proximity	Which aerodromes are at most 50km from London?
Proximity	Are there cities that are at most 2km away from St. David's in Wales?
Proximity	Which pubs are near Mercure Hotel in Glasgow
Proximity	Is there a mountain within 20km of Cheshire?
Proximity	Is Islington near Angel?
Proximity	Is there a car park near a bridge on river Exe?
Proximity	Which bars are near Prince's street in Edinburgh?
Proximity	Which hotels are near Loch Ness?
Proximity	Which museums are within 3km of Saint George's hotel in London?
Proximity	Is there a museum at most 1km from Liverpool?
Proximity	Which restaurants in London are near Kensington Palace?
Proximity	Is there a castle in London near Trafalgar Square?
Proximity	Which restaurants are at most 500m from the University of Liverpool?
Proximity	Which parks are near Trafalgar Square?
Proximity	Which pubs in Liverpool are at most 2km from Anfield stadium?
Proximity	Which pubs in Liverpool are near Anfield stadium?
Proximity	Which theaters are near Trafalgar Square?
Proximity	Where is a car park near Big Ben?
Proximity	Is there a car park at most 1km from Waterloo Bridge?
Proximity	Is the Castle of Edinburgh less than 2km away from Calton Hill?
Proximity	How many pharmacies are in 200 meter radius of High Street in Oxford?
Proximity	Which restaurants are near Edinburgh Castle?
Proximity	Which hotels are near Big Ben?
Proximity	Which hospitals are close to Stirling Castle?
Proximity	Which pubs in Manchester are near the Old Trafford stadium?
Proximity	Is there a national park near York?
Proximity	Which cafes in Manchester are near Piccadilly Gardens?
Proximity	Which hotels in Manchester are near Wharfside Way?
Proximity	Is there a park in Dublin near Grafton Street?
Proximity	Which Greek restaurants in London are near Wembley stadium?
Proximity	Which restaurants are near Baker Street in London?
Proximity	Which restaurants are near Stonehenge?
Proximity	Is there a forest near Manchester?
Proximity	Is the Tower of London near river Thames?
Proximity	Which art museums are at most 1km from Charlotte Square in Edinburgh?
Proximity	Where is the closest market to Elephant and Castle underground station?
Proximity	Where is the nearest gas station to St. Peter's Square in Manchester?
Proximity	Which city of England is nearest to London?
Proximity	Which car park is closest to a bridge on river Exe?
Proximity	Which hospital is nearest to Calton Hill in Edinburgh?
Proximity	Which is the closest airport to London?
Proximity	Which hotel is the nearest to Old Trafford Stadium in Manchester?
Proximity	What London underground stations are closest to the British Museum?